sample_id,target,status,target_family,k,original_score,top_k_features,top_k_removal_effect,random_removal_effect_mean,random_removal_effect_std,top_minus_random,top_effect_exceeds_random,method
LR_95,family_score,requires_review,turbine_and_load_transient,5,0.9937529199669575,"[""TAVG__last"", ""LSGB__mean"", ""LSGA__mean"", ""PSGA__std"", ""RH__last""]",0.6199831822824122,0.003827015208397877,0.007654030416795753,0.6161561670740143,True,reference replacement in frozen model input space
LR_97,family_score,requires_review,turbine_and_load_transient,5,0.9937529199669575,"[""TAVG__last"", ""LSGB__mean"", ""LSGA__mean"", ""PSGA__std"", ""RH__last""]",0.6199831822824122,0.0005613723396018066,0.0011227446792036132,0.6194218099428104,True,reference replacement in frozen model input space
RI_-20,family_score,unknown,reactivity_and_control,5,0.9948999328456963,"[""PSGB__mean"", ""LSGB__mean"", ""TCB__slope"", ""TCB__delta_t0"", ""PSGA__slope""]",0.9295518164378207,0.01265088843437585,0.01549595187580672,0.9169009280034448,True,reference replacement in frozen model input space
RI_-29,family_score,unknown,reactivity_and_control,5,0.9955358108950578,"[""PSGB__mean"", ""LSGB__mean"", ""TCB__slope"", ""TCB__delta_t0"", ""NSGB__last""]",0.9243021844655049,0.0,0.0,0.9243021844655049,True,reference replacement in frozen model input space
RI_-33,family_score,unknown,reactivity_and_control,5,0.9955358108950578,"[""PSGB__mean"", ""LSGB__mean"", ""TCB__slope"", ""TCB__delta_t0"", ""NSGB__last""]",0.9243021844655049,0.01136013405635632,0.013913265923843331,0.9129420504091487,True,reference replacement in frozen model input space
RI_-34,family_score,unknown,reactivity_and_control,5,0.9955358108950578,"[""PSGB__mean"", ""LSGB__mean"", ""TCB__slope"", ""TCB__delta_t0"", ""NSGB__last""]",0.9243021844655049,0.0,0.0,0.9243021844655049,True,reference replacement in frozen model input space
RI_-35,family_score,unknown,reactivity_and_control,5,0.9955358108950578,"[""PSGB__mean"", ""LSGB__mean"", ""TCB__slope"", ""TCB__delta_t0"", ""NSGB__last""]",0.9243021844655049,0.0,0.0,0.9243021844655049,True,reference replacement in frozen model input space
RI_-4,family_score,unknown,reactivity_and_control,5,0.9955420975126071,"[""PSGB__mean"", ""LSGB__mean"", ""TCB__slope"", ""TCB__delta_t0"", ""RH__last""]",0.9206746700974905,0.011114931377359461,0.013614488297137385,0.9095597387201311,True,reference replacement in frozen model input space
RI_-8,family_score,unknown,reactivity_and_control,5,0.9949655805180667,"[""PSGB__mean"", ""LSGB__mean"", ""TCB__slope"", ""TCB__delta_t0"", ""RH__last""]",0.9233631219674059,0.0,0.0,0.9233631219674059,True,reference replacement in frozen model input space
SGATR_57,family_score,requires_review,steam_generator_tube_rupture,5,0.9983132755516201,"[""P__std"", ""QMWT__std"", ""P__last"", ""NSGB__last"", ""TAVG__last""]",0.8349196471704543,0.00685741066136436,0.013714821322728723,0.8280622365090899,True,reference replacement in frozen model input space
SGATR_67,family_score,accepted,steam_generator_tube_rupture,5,0.9983132755516201,"[""P__std"", ""QMWT__std"", ""P__last"", ""NSGB__last"", ""TAVG__last""]",0.8349196471704543,0.005027055260319546,0.006190913617987862,0.8298925919101348,True,reference replacement in frozen model input space
SGATR_68,family_score,accepted,steam_generator_tube_rupture,5,0.9983132755516201,"[""P__std"", ""QMWT__std"", ""P__last"", ""NSGB__last"", ""TAVG__last""]",0.8349196471704543,0.0,0.0,0.8349196471704543,True,reference replacement in frozen model input space
SGATR_76,family_score,accepted,steam_generator_tube_rupture,5,0.9983132755516201,"[""P__std"", ""QMWT__std"", ""P__last"", ""NSGB__last"", ""TAVG__last""]",0.8349196471704543,0.002718584827041015,0.00543716965408203,0.8322010623434133,True,reference replacement in frozen model input space
