split_type,split_id,window_s,feature_group,analysis_scope,mechanism,target_coverage,validation_threshold,validation_coverage,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate
random,seed_20263948,120,A_strict_38,main,probability,0.6,0.8779849414737494,0.6039603960396039,101,61,40,0.6039603960396039,1.0,0.5714285714285714,1.0,0.0,0.39603960396039606
random,seed_20263948,120,A_strict_38,main,probability,0.7,0.8763402553254566,0.801980198019802,101,81,20,0.801980198019802,1.0,0.7142857142857143,1.0,0.0,0.19801980198019797
random,seed_20263948,120,A_strict_38,main,probability,0.8,0.8368671035282559,0.8118811881188119,101,85,16,0.8415841584158416,1.0,0.7142857142857143,1.0,0.0,0.15841584158415845
random,seed_20263948,120,A_strict_38,main,probability,0.9,0.8101845985502694,0.9207920792079208,101,93,8,0.9207920792079208,1.0,0.8571428571428571,1.0,0.0,0.07920792079207917
random,seed_20263948,120,A_strict_38,main,probability,1.0,0.4491505351203062,1.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,0.0
random,seed_20263948,120,A_strict_38,main,margin,0.5,0.8422958231869292,0.504950495049505,101,47,54,0.46534653465346537,1.0,0.42857142857142855,1.0,0.0,0.5346534653465347
random,seed_20263948,120,A_strict_38,main,margin,0.6,0.8180454561736887,0.6039603960396039,101,61,40,0.6039603960396039,1.0,0.5714285714285714,1.0,0.0,0.39603960396039606
random,seed_20263948,120,A_strict_38,main,margin,0.7,0.8164705264203951,0.801980198019802,101,81,20,0.801980198019802,1.0,0.7142857142857143,1.0,0.0,0.19801980198019797
random,seed_20263948,120,A_strict_38,main,margin,0.8,0.7538806571746296,0.8118811881188119,101,85,16,0.8415841584158416,1.0,0.7142857142857143,1.0,0.0,0.15841584158415845
random,seed_20263948,120,A_strict_38,main,margin,0.9,0.735583678245358,0.9207920792079208,101,93,8,0.9207920792079208,1.0,0.8571428571428571,1.0,0.0,0.07920792079207917
random,seed_20263948,120,A_strict_38,main,margin,1.0,0.03248915792854068,1.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,0.0
random,seed_20263948,120,A_strict_38,main,distance,0.5,2.445363091939256,0.504950495049505,101,48,53,0.4752475247524752,1.0,0.5714285714285714,1.0,0.0,0.5247524752475248
random,seed_20263948,120,A_strict_38,main,distance,0.6,2.9415533007454617,0.6039603960396039,101,61,40,0.6039603960396039,1.0,0.5714285714285714,1.0,0.0,0.39603960396039606
random,seed_20263948,120,A_strict_38,main,distance,0.7,3.9632306220403914,0.7029702970297029,101,70,31,0.693069306930693,1.0,0.7142857142857143,1.0,0.0,0.306930693069307
random,seed_20263948,120,A_strict_38,main,distance,0.8,5.236290721276172,0.801980198019802,101,82,19,0.8118811881188119,0.9878048780487805,0.7066379056770271,0.9916666666666668,0.012195121951219523,0.18811881188118806
random,seed_20263948,120,A_strict_38,main,distance,0.9,10.28080260988811,0.900990099009901,101,93,8,0.9207920792079208,0.989247311827957,0.8500282965478212,0.9942528735632185,0.010752688172043001,0.07920792079207917
random,seed_20263948,120,A_strict_38,main,distance,1.0,19.523200566399982,1.0,101,100,1,0.9900990099009901,0.99,0.850939932907146,0.9946236559139785,0.010000000000000009,0.00990099009900991
random,seed_20264957,120,A_strict_38,main,probability,0.5,0.9357439710534458,0.6633663366336634,101,69,32,0.6831683168316832,1.0,0.7142857142857143,1.0,0.0,0.3168316831683168
random,seed_20264957,120,A_strict_38,main,probability,0.6,0.9357439710534458,0.6633663366336634,101,69,32,0.6831683168316832,1.0,0.7142857142857143,1.0,0.0,0.3168316831683168
random,seed_20264957,120,A_strict_38,main,probability,0.7,0.9335263716693053,0.7029702970297029,101,72,29,0.7128712871287128,1.0,0.7142857142857143,1.0,0.0,0.28712871287128716
random,seed_20264957,120,A_strict_38,main,probability,0.8,0.9294026279660936,0.8316831683168316,101,86,15,0.8514851485148515,1.0,0.8571428571428571,1.0,0.0,0.14851485148514854
random,seed_20264957,120,A_strict_38,main,probability,0.9,0.9160570816664856,0.9108910891089109,101,92,9,0.9108910891089109,1.0,0.8571428571428571,1.0,0.0,0.08910891089108908
random,seed_20264957,120,A_strict_38,main,probability,1.0,0.6910540854619057,1.0,101,100,1,0.9900990099009901,1.0,0.8571428571428571,1.0,0.0,0.00990099009900991
random,seed_20264957,120,A_strict_38,main,margin,0.5,0.9170361775703768,0.6435643564356436,101,69,32,0.6831683168316832,1.0,0.7142857142857143,1.0,0.0,0.3168316831683168
random,seed_20264957,120,A_strict_38,main,margin,0.6,0.9170361775703768,0.6435643564356436,101,69,32,0.6831683168316832,1.0,0.7142857142857143,1.0,0.0,0.3168316831683168
random,seed_20264957,120,A_strict_38,main,margin,0.7,0.9140167501198494,0.7029702970297029,101,72,29,0.7128712871287128,1.0,0.7142857142857143,1.0,0.0,0.28712871287128716
random,seed_20264957,120,A_strict_38,main,margin,0.8,0.9091528337782971,0.8217821782178217,101,85,16,0.8415841584158416,1.0,0.8571428571428571,1.0,0.0,0.15841584158415845
random,seed_20264957,120,A_strict_38,main,margin,0.9,0.8856572015077044,0.9108910891089109,101,94,7,0.9306930693069307,1.0,0.8571428571428571,1.0,0.0,0.06930693069306926
random,seed_20264957,120,A_strict_38,main,margin,1.0,0.4684311461466971,1.0,101,100,1,0.9900990099009901,1.0,0.8571428571428571,1.0,0.0,0.00990099009900991
random,seed_20264957,120,A_strict_38,main,distance,0.5,2.2501598322983787,0.504950495049505,101,52,49,0.5148514851485149,1.0,0.5714285714285714,1.0,0.0,0.48514851485148514
random,seed_20264957,120,A_strict_38,main,distance,0.6,3.137886651955354,0.6039603960396039,101,69,32,0.6831683168316832,1.0,0.5714285714285714,1.0,0.0,0.3168316831683168
random,seed_20264957,120,A_strict_38,main,distance,0.7,4.144726887583355,0.7029702970297029,101,78,23,0.7722772277227723,1.0,0.7142857142857143,1.0,0.0,0.2277227722772277
random,seed_20264957,120,A_strict_38,main,distance,0.8,5.6600109192412456,0.801980198019802,101,87,14,0.8613861386138614,1.0,0.8571428571428571,1.0,0.0,0.13861386138613863
random,seed_20264957,120,A_strict_38,main,distance,0.9,7.742729569425332,0.900990099009901,101,95,6,0.9405940594059405,1.0,0.8571428571428571,1.0,0.0,0.05940594059405946
random,seed_20264957,120,A_strict_38,main,distance,1.0,2840.193124939792,1.0,101,101,0,1.0,0.9900990099009901,0.8422928422928423,0.9761904761904763,0.00990099009900991,0.0
