split_type,split_id,window_s,eval_split,mode,model,threshold,selected_threshold,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,balanced_accuracy,risk,selected_for_test,curve_point,calibration_folds,calibration_status
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.6,0.0,101,100,1,0.9900990099009901,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.65,0.0,101,100,1,0.9900990099009901,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.7,0.0,101,97,4,0.9603960396039604,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.75,0.0,101,97,4,0.9603960396039604,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.8,0.0,101,96,5,0.9504950495049505,1.0,0.8571428571428571,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.85,0.0,101,84,17,0.8316831683168316,1.0,0.7142857142857143,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.9,0.0,101,40,61,0.39603960396039606,1.0,0.2857142857142857,1.0,0.0,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,validation,family_selective_curve,hist_gradient_boosting,0.95,0.0,101,0,101,0.0,,,,,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,forced_family,hist_gradient_boosting,0.0,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,True,False,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,family_selective,hist_gradient_boosting,0.0,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,True,False,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,family_selective_curve,hist_gradient_boosting,0.0,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,True,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,family_selective_curve,hist_gradient_boosting,0.05,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,family_selective_curve,hist_gradient_boosting,0.1,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,family_selective_curve,hist_gradient_boosting,0.15,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,family_selective_curve,hist_gradient_boosting,0.2,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,family_selective_curve,hist_gradient_boosting,0.25,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,family_selective_curve,hist_gradient_boosting,0.3,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,family_selective_curve,hist_gradient_boosting,0.35,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,family_selective_curve,hist_gradient_boosting,0.4,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
random,seed_20262939,120,test,family_selective_curve,hist_gradient_boosting,0.45,0.0,101,101,0,1.0,0.9900990099009901,0.850939932907146,0.9946236559139785,0.00990099009900991,False,True,3.0,train_only_sigmoid_cv
