scope,input_group,window_s,selected_model,accident_class,recall,support,test_macro_f1,test_balanced_accuracy
all_sample,C_without_SLBIC_initial,90,hist_gradient_boosting,LOCA,1.0,10,0.19275498978469274,0.2727272727272727
all_sample,C_without_SLBIC_initial,120,random_forest,FLB,1.0,10,0.7393455138376163,0.7765151515151515
all_sample,C_without_SLBIC_initial,120,random_forest,LLB,0.9090909090909091,11,0.7393455138376163,0.7765151515151515
all_sample,C_without_SLBIC_initial,120,random_forest,LOCAC,0.9,10,0.7393455138376163,0.7765151515151515
all_sample,C_without_SLBIC_initial,120,random_forest,RW,0.9,10,0.7393455138376163,0.7765151515151515
all_sample,C_without_SLBIC_initial,120,random_forest,RI,1.0,8,0.7393455138376163,0.7765151515151515
all_sample,C_without_SLBIC_initial,120,random_forest,SGBTR,0.9090909090909091,11,0.7393455138376163,0.7765151515151515
all_sample,C_without_SLBIC_initial,120,random_forest,LOCA,0.9,10,0.7393455138376163,0.7765151515151515
strict_pre_protection_only,A_strict_38,10,hist_gradient_boosting,FLB,1.0,9,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,10,hist_gradient_boosting,LLB,0.0,0,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,10,hist_gradient_boosting,LOCAC,0.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,10,hist_gradient_boosting,RW,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,10,hist_gradient_boosting,RI,0.0,7,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,10,hist_gradient_boosting,SGBTR,0.0,5,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,10,hist_gradient_boosting,LOCA,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,20,hist_gradient_boosting,FLB,1.0,9,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,20,hist_gradient_boosting,LLB,0.0,0,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,20,hist_gradient_boosting,LOCAC,0.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,20,hist_gradient_boosting,RW,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,20,hist_gradient_boosting,RI,0.0,7,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,20,hist_gradient_boosting,SGBTR,0.0,5,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,20,hist_gradient_boosting,LOCA,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,30,hist_gradient_boosting,FLB,1.0,9,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,30,hist_gradient_boosting,LLB,0.0,0,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,30,hist_gradient_boosting,LOCAC,0.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,30,hist_gradient_boosting,RW,1.0,10,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,30,hist_gradient_boosting,RI,0.0,7,0.19506172839506175,0.3888888888888889
strict_pre_protection_only,A_strict_38,30,hist_gradient_boosting,SGBTR,0.0,5,0.19506172839506175,0.3888888888888889
