split_type,split_id,window_s,eval_split,model,calibration_folds,calibration_status,bin,bin_lower,bin_upper,count,mean_confidence,accuracy,ece,brier_score,log_loss
random,seed_20265966,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.08606445302855267,0.032473981919465024,0.13200581968082695
random,seed_20265966,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,4,0.4,0.5,0,,,0.08606445302855267,0.032473981919465024,0.13200581968082695
random,seed_20265966,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,5,0.5,0.6,1,0.5146029034902545,1.0,0.08606445302855267,0.032473981919465024,0.13200581968082695
random,seed_20265966,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,6,0.6,0.7,1,0.6621027723463104,1.0,0.08606445302855267,0.032473981919465024,0.13200581968082695
random,seed_20265966,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,7,0.7,0.8,2,0.7952486074961864,1.0,0.08606445302855267,0.032473981919465024,0.13200581968082695
random,seed_20265966,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,8,0.8,0.9,13,0.8406136293630649,0.9230769230769231,0.08606445302855267,0.032473981919465024,0.13200581968082695
random,seed_20265966,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,9,0.9,1.0,84,0.9239560734710405,1.0,0.08606445302855267,0.032473981919465024,0.13200581968082695
random,seed_20265966,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.10260160478655492,0.019900910373454785,0.11084067481456579
random,seed_20265966,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.10260160478655492,0.019900910373454785,0.11084067481456579
random,seed_20265966,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.10260160478655492,0.019900910373454785,0.11084067481456579
random,seed_20265966,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.10260160478655492,0.019900910373454785,0.11084067481456579
random,seed_20265966,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,4,0.4,0.5,0,,,0.10260160478655492,0.019900910373454785,0.11084067481456579
random,seed_20265966,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,5,0.5,0.6,0,,,0.10260160478655492,0.019900910373454785,0.11084067481456579
random,seed_20265966,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,6,0.6,0.7,3,0.671661460512861,1.0,0.10260160478655492,0.019900910373454785,0.11084067481456579
random,seed_20265966,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,7,0.7,0.8,3,0.7654739508989129,1.0,0.10260160478655492,0.019900910373454785,0.11084067481456579
random,seed_20265966,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,8,0.8,0.9,14,0.820915229588783,1.0,0.10260160478655492,0.019900910373454785,0.11084067481456579
random,seed_20265966,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,9,0.9,1.0,81,0.9238644255318478,1.0,0.10260160478655492,0.019900910373454785,0.11084067481456579
random,seed_20266975,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.11960713775108361,0.030389957014171857,0.13294123534008223
random,seed_20266975,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.11960713775108361,0.030389957014171857,0.13294123534008223
random,seed_20266975,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.11960713775108361,0.030389957014171857,0.13294123534008223
random,seed_20266975,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.11960713775108361,0.030389957014171857,0.13294123534008223
random,seed_20266975,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,4,0.4,0.5,2,0.49482002093841837,1.0,0.11960713775108361,0.030389957014171857,0.13294123534008223
random,seed_20266975,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,5,0.5,0.6,1,0.5489963272758348,1.0,0.11960713775108361,0.030389957014171857,0.13294123534008223
random,seed_20266975,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,6,0.6,0.7,2,0.605885809939888,1.0,0.11960713775108361,0.030389957014171857,0.13294123534008223
random,seed_20266975,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,7,0.7,0.8,1,0.7629845139930151,1.0,0.11960713775108361,0.030389957014171857,0.13294123534008223
random,seed_20266975,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,8,0.8,0.9,38,0.8791462315317494,1.0,0.11960713775108361,0.030389957014171857,0.13294123534008223
random,seed_20266975,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,9,0.9,1.0,57,0.9122584172966424,1.0,0.11960713775108361,0.030389957014171857,0.13294123534008223
