split_type,split_id,window_s,feature,severity_dependency_max_abs_spearman,class_signal_max_between_share,class_signal_train_median,removed,screening_rule
random,seed_20260921,120,RHBR,0.0,0.0,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,RHMT,0.34206607467933786,0.8346796515920819,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,RHFL,0.05545030934227758,0.7700981763833245,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,RH,0.18957734068765109,0.7028670690467316,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,PWNT,0.05002001322056228,0.8076657863180549,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,PWR,0.05230561679906225,0.7725653356752206,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,TFSB,0.05139414658351949,0.7755802361998009,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,TFPK,0.05310949743922938,0.7700825361098778,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,TF,0.05310949743922938,0.7700825361098778,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,PPM,0.0,0.0,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,RRCA,0.4097034229757792,0.6807391164854697,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,RRCB,0.40970658200073024,0.7480708452831275,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20260921,120,RRCO,0.40970658200073024,0.7177918984531279,0.7725659928923503,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,P,0.5505583715543244,0.8246666851811181,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,TAVG,0.5505583715543244,0.9540447150886444,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,THA,0.5505583715543244,0.9872244393597475,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,THB,0.5505583715543244,0.9871361384220616,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,TCA,0.5505583715543244,0.9964003927052236,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,TCB,0.5505583715543244,0.9963924595656725,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,WRCA,0.0,0.0,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,WRCB,0.0,0.0,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,PSGA,0.5505583715543244,0.9949264563673067,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,PSGB,0.5505583715543244,0.9949288997459999,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,WFWA,0.5505583715543244,0.9999850804486691,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,WFWB,0.5505583715543244,0.9999855601721296,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,WSTA,0.5454265567097273,0.9999999999441768,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,WSTB,0.49626626789320594,0.9999999999966885,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,VOL,0.5454265567097273,0.7272609814533569,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,LVPZ,0.5454265567097273,0.727418862161487,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,QMWT,0.5505583715543244,0.9999486224809035,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,LSGA,0.37655233555015377,0.9995315445744857,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,LSGB,0.37655233555015377,0.9995307436921796,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,QMGA,0.5505583715543244,0.9999966792499095,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,QMGB,0.5505583715543244,0.9999965848020103,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,NSGA,0.5357858868732519,0.9997013794548187,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,NSGB,0.5357858868732519,0.9996930210567448,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,TSAT,0.5505583715543244,0.8051169614765834,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,LVCR,0.0,0.0,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,RHBR,0.0,0.0,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,RHMT,0.5505583715543244,0.9807601847447919,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,RHFL,0.5505583715543244,0.9818327816373125,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,RH,0.5505583715543244,0.9988966467017965,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,PWNT,0.5505583715543244,0.9998316922341083,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,PWR,0.5505583715543244,0.999789054763793,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,TFSB,0.5505583715543244,0.9996449359180976,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,TFPK,0.5505583715543244,0.9996327741298857,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,TF,0.5505583715543244,0.9996327741298857,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,PPM,0.0,0.0,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,RRCA,0.0,0.0,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,RRCB,0.0,0.0,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,60,RRCO,0.0,0.0,0.9956606796558362,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,P,0.5454265567097273,0.9476435069561232,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
random,seed_20261930,90,TAVG,0.5505583715543244,0.982617100274441,0.9981433250221927,False,train_only: severity_abs_spearman>=0.70 and class_signal<=train_median
