split_type,split_id,window_s,input_group,true_class,predicted_class,count,support
severity_blocked,middle_block,120,B_relative_change,MD,SGBTR,0,0
severity_blocked,middle_block,120,B_relative_change,MD,SLBIC,0,0
severity_blocked,middle_block,120,B_relative_change,MD,SLBOC,0,0
severity_blocked,middle_block,120,B_relative_change,RI,FLB,0,7
severity_blocked,middle_block,120,B_relative_change,RI,LLB,0,7
severity_blocked,middle_block,120,B_relative_change,RI,LOCA,0,7
severity_blocked,middle_block,120,B_relative_change,RI,LOCAC,0,7
severity_blocked,middle_block,120,B_relative_change,RI,LR,0,7
severity_blocked,middle_block,120,B_relative_change,RI,MD,0,7
severity_blocked,middle_block,120,B_relative_change,RI,RI,7,7
severity_blocked,middle_block,120,B_relative_change,RI,RW,0,7
severity_blocked,middle_block,120,B_relative_change,RI,SGATR,0,7
severity_blocked,middle_block,120,B_relative_change,RI,SGBTR,0,7
severity_blocked,middle_block,120,B_relative_change,RI,SLBIC,0,7
severity_blocked,middle_block,120,B_relative_change,RI,SLBOC,0,7
severity_blocked,middle_block,120,B_relative_change,RW,FLB,0,0
severity_blocked,middle_block,120,B_relative_change,RW,LLB,0,0
severity_blocked,middle_block,120,B_relative_change,RW,LOCA,0,0
severity_blocked,middle_block,120,B_relative_change,RW,LOCAC,0,0
severity_blocked,middle_block,120,B_relative_change,RW,LR,0,0
severity_blocked,middle_block,120,B_relative_change,RW,MD,0,0
severity_blocked,middle_block,120,B_relative_change,RW,RI,0,0
severity_blocked,middle_block,120,B_relative_change,RW,RW,0,0
severity_blocked,middle_block,120,B_relative_change,RW,SGATR,0,0
severity_blocked,middle_block,120,B_relative_change,RW,SGBTR,0,0
severity_blocked,middle_block,120,B_relative_change,RW,SLBIC,0,0
severity_blocked,middle_block,120,B_relative_change,RW,SLBOC,0,0
severity_blocked,middle_block,120,B_relative_change,SGATR,FLB,0,9
severity_blocked,middle_block,120,B_relative_change,SGATR,LLB,0,9
severity_blocked,middle_block,120,B_relative_change,SGATR,LOCA,0,9
