split_type,split_id,window_s,feature_group,analysis_scope,eval_split,alpha,calibration_n,probability_cutoff,empirical_set_coverage,average_prediction_set_size,single_label_rate,ambiguous_multi_label_rate,empty_unknown_rate,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate,selected_model,calibration_status
random,seed_20261930,120,A_strict_38,main,test,0.1,101,0.9213904503170385,0.8514851485148515,0.8514851485148515,0.8514851485148515,0.0,0.1485148514851485,0.8514851485148515,1.0,0.8571428571428571,1.0,0.0,0.14851485148514854,random_forest,train_only_sigmoid_cv
random,seed_20261930,120,A_strict_38,main,test,0.2,101,0.9319294782348455,0.7524752475247525,0.7524752475247525,0.7524752475247525,0.0,0.24752475247524752,0.7524752475247525,1.0,0.7142857142857143,1.0,0.0,0.24752475247524752,random_forest,train_only_sigmoid_cv
random,seed_20261930,60,A_strict_38,control,test,0.05,101,0.08208564727600898,1.0,4.544554455445544,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20261930,60,A_strict_38,control,test,0.1,101,0.18321699784867174,0.9504950495049505,3.3168316831683167,0.22772277227722773,0.7722772277227723,0.0,0.22772277227722773,1.0,0.42857142857142855,1.0,0.0,0.7722772277227723,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20261930,60,A_strict_38,control,test,0.2,101,0.18321699784867174,0.9504950495049505,3.3168316831683167,0.22772277227722773,0.7722772277227723,0.0,0.22772277227722773,1.0,0.42857142857142855,1.0,0.0,0.7722772277227723,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20261930,90,A_strict_38,control,test,0.05,101,0.08208564727600898,1.0,4.544554455445544,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20261930,90,A_strict_38,control,test,0.1,101,0.18321699784867174,0.9504950495049505,3.3168316831683167,0.22772277227722773,0.7722772277227723,0.0,0.22772277227722773,1.0,0.42857142857142855,1.0,0.0,0.7722772277227723,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20261930,90,A_strict_38,control,test,0.2,101,0.18321699784867174,0.9504950495049505,3.3168316831683167,0.22772277227722773,0.7722772277227723,0.0,0.22772277227722773,1.0,0.42857142857142855,1.0,0.0,0.7722772277227723,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20262939,120,A_strict_38,main,test,0.05,101,0.7848209448612046,0.9405940594059405,0.9504950495049505,0.9504950495049505,0.0,0.04950495049504951,0.9504950495049505,0.9895833333333334,0.8497954412624197,0.9944444444444445,0.01041666666666663,0.04950495049504955,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20262939,120,A_strict_38,main,test,0.1,101,0.8309249128770779,0.8712871287128713,0.8712871287128713,0.8712871287128713,0.0,0.12871287128712872,0.8712871287128713,1.0,0.8571428571428571,1.0,0.0,0.12871287128712872,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20262939,120,A_strict_38,main,test,0.2,101,0.8658776522719076,0.8118811881188119,0.8118811881188119,0.8118811881188119,0.0,0.18811881188118812,0.8118811881188119,1.0,0.7142857142857143,1.0,0.0,0.18811881188118806,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20262939,60,A_strict_38,control,test,0.05,101,0.0755860252920364,1.0,4.5049504950495045,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20262939,60,A_strict_38,control,test,0.1,101,0.18430976547420264,0.9504950495049505,3.257425742574257,0.24752475247524752,0.7524752475247525,0.0,0.24752475247524752,1.0,0.42857142857142855,1.0,0.0,0.7524752475247525,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20262939,60,A_strict_38,control,test,0.2,101,0.18430976547420264,0.9504950495049505,3.257425742574257,0.24752475247524752,0.7524752475247525,0.0,0.24752475247524752,1.0,0.42857142857142855,1.0,0.0,0.7524752475247525,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20262939,90,A_strict_38,control,test,0.05,101,0.0755860252920364,1.0,4.5049504950495045,0.0,1.0,0.0,0.0,,,,,1.0,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20262939,90,A_strict_38,control,test,0.1,101,0.18430976547420264,0.9504950495049505,3.257425742574257,0.24752475247524752,0.7524752475247525,0.0,0.24752475247524752,1.0,0.42857142857142855,1.0,0.0,0.7524752475247525,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20262939,90,A_strict_38,control,test,0.2,101,0.18430976547420264,0.9504950495049505,3.257425742574257,0.24752475247524752,0.7524752475247525,0.0,0.24752475247524752,1.0,0.42857142857142855,1.0,0.0,0.7524752475247525,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20263948,120,A_strict_38,main,test,0.05,101,0.6434805270814672,0.9702970297029703,0.9801980198019802,0.9801980198019802,0.0,0.019801980198019802,0.9801980198019802,0.98989898989899,0.8504719324391455,0.9946236559139785,0.010101010101010055,0.01980198019801982,hist_gradient_boosting,train_only_sigmoid_cv
random,seed_20263948,120,A_strict_38,main,test,0.1,101,0.8101845985502694,0.9207920792079208,0.9207920792079208,0.9207920792079208,0.0,0.07920792079207921,0.9207920792079208,1.0,0.8571428571428571,1.0,0.0,0.07920792079207917,hist_gradient_boosting,train_only_sigmoid_cv
