split_type,split_id,window_s,evaluation_scope,model,selected_for_test,accuracy,macro_f1,macro_f1_observed,balanced_accuracy,n_classes_eval,minimum_support,eligible_families
random,seed_20268993,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.42574257425742573,0.3093714766063339,0.3609333893740562,0.4232377538829151,6,5,
random,seed_20268993,90,two_stage_end_to_end,family_then_subtype,True,0.42574257425742573,0.20945220193340494,0.3141783029001074,0.3819444444444444,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20268993,120,family_model,hist_gradient_boosting,True,0.9801980198019802,0.8442752100840336,0.9849877450980392,0.9814814814814815,6,5,
random,seed_20268993,120,fine_grained_12_class,hist_gradient_boosting,True,0.9504950495049505,0.6385477267830209,0.9578215901745313,0.9534970238095238,8,5,
random,seed_20268993,120,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.9504950495049505,0.8168171114599686,0.9529532967032966,0.943036354326677,6,5,
random,seed_20268993,120,two_stage_end_to_end,family_then_subtype,True,0.9801980198019802,0.6568627450980392,0.9852941176470589,0.9861111111111112,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20270002,60,family_model,hist_gradient_boosting,True,0.46534653465346537,0.35892691951896394,0.4187480727721246,0.4602747909199522,6,5,
random,seed_20270002,60,fine_grained_12_class,hist_gradient_boosting,True,0.46534653465346537,0.23835954363243914,0.35753931544865863,0.4097222222222222,8,5,
random,seed_20270002,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.46534653465346537,0.35892691951896394,0.4187480727721246,0.4602747909199522,6,5,
random,seed_20270002,60,two_stage_end_to_end,family_then_subtype,True,0.46534653465346537,0.23835954363243914,0.35753931544865863,0.4097222222222222,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20270002,90,family_model,hist_gradient_boosting,True,0.46534653465346537,0.35892691951896394,0.4187480727721246,0.4602747909199522,6,5,
random,seed_20270002,90,fine_grained_12_class,hist_gradient_boosting,True,0.46534653465346537,0.23835954363243914,0.35753931544865863,0.4097222222222222,8,5,
random,seed_20270002,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.46534653465346537,0.35892691951896394,0.4187480727721246,0.4602747909199522,6,5,
random,seed_20270002,90,two_stage_end_to_end,family_then_subtype,True,0.46534653465346537,0.23835954363243914,0.35753931544865863,0.4097222222222222,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
random,seed_20270002,120,family_model,logistic_regression,True,0.9900990099009901,0.8513166162106586,0.9932027189124351,0.9946236559139785,6,5,
random,seed_20270002,120,fine_grained_12_class,logistic_regression,True,0.9702970297029703,0.6507264210267548,0.9760896315401322,0.9659970238095239,8,5,
random,seed_20270002,120,fine_predictions_mapped_to_family,logistic_regression,True,0.9801980198019802,0.8455782312925171,0.9865079365079366,0.989247311827957,6,5,
random,seed_20270002,120,two_stage_end_to_end,family_then_subtype,True,0.9900990099009901,0.6619459742984527,0.992918961447679,0.9921875,8,5,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_blocked,low_block,60,family_model,hist_gradient_boosting,True,0.4174757281553398,0.23709623709623706,0.27661227661227655,0.4166666666666667,6,6,
severity_blocked,low_block,60,fine_grained_12_class,hist_gradient_boosting,True,0.4174757281553398,0.16608391608391607,0.2491258741258741,0.375,8,6,
severity_blocked,low_block,60,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.4174757281553398,0.23709623709623706,0.27661227661227655,0.4166666666666667,6,6,
severity_blocked,low_block,60,two_stage_end_to_end,family_then_subtype,True,0.4174757281553398,0.16608391608391607,0.2491258741258741,0.375,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_blocked,low_block,90,family_model,hist_gradient_boosting,True,0.4174757281553398,0.23709623709623706,0.27661227661227655,0.4166666666666667,6,6,
severity_blocked,low_block,90,fine_grained_12_class,hist_gradient_boosting,True,0.4174757281553398,0.16608391608391607,0.2491258741258741,0.375,8,6,
severity_blocked,low_block,90,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.4174757281553398,0.23709623709623706,0.27661227661227655,0.4166666666666667,6,6,
severity_blocked,low_block,90,two_stage_end_to_end,family_then_subtype,True,0.4174757281553398,0.16608391608391607,0.2491258741258741,0.375,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_blocked,low_block,120,family_model,hist_gradient_boosting,True,0.8252427184466019,0.6571333428476286,0.7666555666555667,0.8414351851851851,6,6,
severity_blocked,low_block,120,fine_grained_12_class,hist_gradient_boosting,True,0.8446601941747572,0.5522792022792024,0.8284188034188034,0.8888888888888888,8,6,
severity_blocked,low_block,120,fine_predictions_mapped_to_family,hist_gradient_boosting,True,0.8446601941747572,0.6685197155785392,0.7799396681749623,0.8518518518518517,6,6,
severity_blocked,low_block,120,two_stage_end_to_end,family_then_subtype,True,0.6990291262135923,0.46358872608872614,0.6953830891330891,0.7717013888888888,8,6,primary_coolant_boundary_break;steam_generator_tube_rupture
severity_blocked,middle_block,60,family_model,hist_gradient_boosting,True,0.4174757281553398,0.2952380952380952,0.3444444444444444,0.4166666666666667,6,6,
severity_blocked,middle_block,60,fine_grained_12_class,hist_gradient_boosting,True,0.4174757281553398,0.19999999999999998,0.3,0.375,8,6,
