scope,window_s,input_group,model,eval_split,n_samples,n_features,n_classes_train,n_classes_eval,n_unknown_protection,accuracy,macro_f1,macro_f1_observed_classes,balanced_accuracy,fit_status
all_sample,120,B_without_potential_leakage,naive_majority,test,121,185,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,120,B_without_potential_leakage,logistic_regression,validation,119,185,12,12,55,0.7226890756302521,0.7022599525119837,0.7022599525119837,0.7265151515151516,fitted
all_sample,120,B_without_potential_leakage,logistic_regression,test,121,185,12,12,57,0.7272727272727273,0.711920631461331,0.711920631461331,0.7303030303030303,fitted
all_sample,120,B_without_potential_leakage,random_forest,validation,119,185,12,12,55,0.8319327731092437,0.7916666666666666,0.7916666666666666,0.8333333333333334,fitted
all_sample,120,B_without_potential_leakage,random_forest,test,121,185,12,12,57,0.7851239669421488,0.7488484378142246,0.7488484378142246,0.7848484848484848,fitted
all_sample,120,B_without_potential_leakage,hist_gradient_boosting,validation,119,185,12,12,55,0.8151260504201681,0.7749582289055974,0.7749582289055974,0.8166666666666668,fitted
all_sample,120,B_without_potential_leakage,hist_gradient_boosting,test,121,185,12,12,57,0.7933884297520661,0.7525839962224402,0.7525839962224402,0.7924242424242424,fitted
all_sample,120,C_without_SLBIC_initial,naive_majority,validation,119,120,12,12,55,0.08403361344537816,0.012919896640826873,0.012919896640826873,0.08333333333333333,majority_baseline
all_sample,120,C_without_SLBIC_initial,naive_majority,test,121,120,12,12,57,0.08264462809917356,0.012722646310432571,0.012722646310432571,0.08333333333333333,majority_baseline
all_sample,120,C_without_SLBIC_initial,logistic_regression,validation,119,120,12,12,55,0.7058823529411765,0.6879103530230655,0.6879103530230655,0.7098484848484848,fitted
all_sample,120,C_without_SLBIC_initial,logistic_regression,test,121,120,12,12,57,0.7107438016528925,0.6990936034169116,0.6990936034169116,0.7151515151515152,fitted
all_sample,120,C_without_SLBIC_initial,random_forest,validation,119,120,12,12,55,0.8235294117647058,0.7833124477861318,0.7833124477861318,0.8250000000000001,fitted
all_sample,120,C_without_SLBIC_initial,random_forest,test,121,120,12,12,57,0.7768595041322314,0.7393455138376163,0.7393455138376163,0.7765151515151515,fitted
all_sample,120,C_without_SLBIC_initial,hist_gradient_boosting,validation,119,120,12,12,55,0.7983193277310925,0.7597235843231266,0.7597235843231266,0.8007575757575758,fitted
all_sample,120,C_without_SLBIC_initial,hist_gradient_boosting,test,121,120,12,12,57,0.7933884297520661,0.7538043827517512,0.7538043827517512,0.7931818181818181,fitted
strict_pre_protection_only,10,A_strict_38,naive_majority,validation,64,190,8,8,0,0.15625,0.022522522522522525,0.033783783783783786,0.125,majority_baseline
strict_pre_protection_only,10,A_strict_38,naive_majority,test,64,190,8,8,0,0.140625,0.02054794520547945,0.030821917808219176,0.125,majority_baseline
strict_pre_protection_only,10,A_strict_38,logistic_regression,validation,64,190,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,10,A_strict_38,logistic_regression,test,64,190,8,8,0,0.484375,0.1979602791196994,0.2969404186795491,0.3888888888888889,fitted
strict_pre_protection_only,10,A_strict_38,random_forest,validation,64,190,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,10,A_strict_38,random_forest,test,64,190,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,10,A_strict_38,hist_gradient_boosting,validation,64,190,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,10,A_strict_38,hist_gradient_boosting,test,64,190,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,10,B_without_potential_leakage,naive_majority,validation,64,185,8,8,0,0.15625,0.022522522522522525,0.033783783783783786,0.125,majority_baseline
strict_pre_protection_only,10,B_without_potential_leakage,naive_majority,test,64,185,8,8,0,0.140625,0.02054794520547945,0.030821917808219176,0.125,majority_baseline
strict_pre_protection_only,10,B_without_potential_leakage,logistic_regression,validation,64,185,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,10,B_without_potential_leakage,logistic_regression,test,64,185,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,10,B_without_potential_leakage,random_forest,validation,64,185,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,10,B_without_potential_leakage,random_forest,test,64,185,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,10,B_without_potential_leakage,hist_gradient_boosting,validation,64,185,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,10,B_without_potential_leakage,hist_gradient_boosting,test,64,185,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,10,C_without_SLBIC_initial,naive_majority,validation,64,120,8,8,0,0.15625,0.022522522522522525,0.033783783783783786,0.125,majority_baseline
strict_pre_protection_only,10,C_without_SLBIC_initial,naive_majority,test,64,120,8,8,0,0.140625,0.02054794520547945,0.030821917808219176,0.125,majority_baseline
strict_pre_protection_only,10,C_without_SLBIC_initial,logistic_regression,validation,64,120,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,10,C_without_SLBIC_initial,logistic_regression,test,64,120,8,8,0,0.484375,0.1979602791196994,0.2969404186795491,0.3888888888888889,fitted
strict_pre_protection_only,10,C_without_SLBIC_initial,random_forest,validation,64,120,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,10,C_without_SLBIC_initial,random_forest,test,64,120,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,10,C_without_SLBIC_initial,hist_gradient_boosting,validation,64,120,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,10,C_without_SLBIC_initial,hist_gradient_boosting,test,64,120,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,20,A_strict_38,naive_majority,validation,64,190,8,8,0,0.15625,0.022522522522522525,0.033783783783783786,0.125,majority_baseline
strict_pre_protection_only,20,A_strict_38,naive_majority,test,64,190,8,8,0,0.140625,0.02054794520547945,0.030821917808219176,0.125,majority_baseline
strict_pre_protection_only,20,A_strict_38,logistic_regression,validation,64,190,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,20,A_strict_38,logistic_regression,test,64,190,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,20,A_strict_38,random_forest,validation,64,190,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,20,A_strict_38,random_forest,test,64,190,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,20,A_strict_38,hist_gradient_boosting,validation,64,190,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,20,A_strict_38,hist_gradient_boosting,test,64,190,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,20,B_without_potential_leakage,naive_majority,validation,64,185,8,8,0,0.15625,0.022522522522522525,0.033783783783783786,0.125,majority_baseline
strict_pre_protection_only,20,B_without_potential_leakage,naive_majority,test,64,185,8,8,0,0.140625,0.02054794520547945,0.030821917808219176,0.125,majority_baseline
strict_pre_protection_only,20,B_without_potential_leakage,logistic_regression,validation,64,185,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,20,B_without_potential_leakage,logistic_regression,test,64,185,8,8,0,0.484375,0.1979602791196994,0.2969404186795491,0.3888888888888889,fitted
strict_pre_protection_only,20,B_without_potential_leakage,random_forest,validation,64,185,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,20,B_without_potential_leakage,random_forest,test,64,185,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,20,B_without_potential_leakage,hist_gradient_boosting,validation,64,185,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,20,B_without_potential_leakage,hist_gradient_boosting,test,64,185,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,20,C_without_SLBIC_initial,naive_majority,validation,64,120,8,8,0,0.15625,0.022522522522522525,0.033783783783783786,0.125,majority_baseline
strict_pre_protection_only,20,C_without_SLBIC_initial,naive_majority,test,64,120,8,8,0,0.140625,0.02054794520547945,0.030821917808219176,0.125,majority_baseline
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,validation,64,120,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,64,120,8,8,0,0.484375,0.1979602791196994,0.2969404186795491,0.3888888888888889,fitted
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,64,120,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,test,64,120,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,20,C_without_SLBIC_initial,hist_gradient_boosting,validation,64,120,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,20,C_without_SLBIC_initial,hist_gradient_boosting,test,64,120,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,30,A_strict_38,naive_majority,validation,64,190,8,8,0,0.15625,0.022522522522522525,0.033783783783783786,0.125,majority_baseline
strict_pre_protection_only,30,A_strict_38,naive_majority,test,64,190,8,8,0,0.140625,0.02054794520547945,0.030821917808219176,0.125,majority_baseline
strict_pre_protection_only,30,A_strict_38,logistic_regression,validation,64,190,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,30,A_strict_38,logistic_regression,test,64,190,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,30,A_strict_38,random_forest,validation,64,190,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,30,A_strict_38,random_forest,test,64,190,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,30,A_strict_38,hist_gradient_boosting,validation,64,190,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,30,A_strict_38,hist_gradient_boosting,test,64,190,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,30,B_without_potential_leakage,naive_majority,validation,64,185,8,8,0,0.15625,0.022522522522522525,0.033783783783783786,0.125,majority_baseline
strict_pre_protection_only,30,B_without_potential_leakage,naive_majority,test,64,185,8,8,0,0.140625,0.02054794520547945,0.030821917808219176,0.125,majority_baseline
strict_pre_protection_only,30,B_without_potential_leakage,logistic_regression,validation,64,185,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,30,B_without_potential_leakage,logistic_regression,test,64,185,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
strict_pre_protection_only,30,B_without_potential_leakage,random_forest,validation,64,185,8,8,0,0.484375,0.19981213097155126,0.2997181964573269,0.390625,fitted
strict_pre_protection_only,30,B_without_potential_leakage,random_forest,test,64,185,8,8,0,0.46875,0.19506172839506175,0.29259259259259257,0.3888888888888889,fitted
