split_type,split_id,window_s,feature_group,analysis_scope,mechanism,eval_split,target_coverage,threshold,secondary_threshold,validation_coverage,selected_model,calibration_status,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate
random,seed_20264957,90,A_strict_38,control,distance,test,0.7,0.9999999999999838,,0.7425742574257426,hist_gradient_boosting,train_only_sigmoid_cv,101,77,24,0.7623762376237624,0.2597402597402597,0.05891016200294551,0.2,0.7402597402597403,0.2376237623762376
random,seed_20264957,90,A_strict_38,control,combination,test,0.7,0.26319967387488835,0.9999999999999838,0.7425742574257426,hist_gradient_boosting,train_only_sigmoid_cv,101,77,24,0.7623762376237624,0.2597402597402597,0.05891016200294551,0.2,0.7402597402597403,0.2376237623762376
random,seed_20265966,120,A_strict_38,main,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0
random,seed_20265966,120,A_strict_38,main,probability,test,0.7,0.9036093609308644,,0.8316831683168316,hist_gradient_boosting,train_only_sigmoid_cv,101,81,20,0.801980198019802,1.0,0.7142857142857143,1.0,0.0,0.19801980198019797
random,seed_20265966,120,A_strict_38,main,margin,test,0.7,0.8584395389207444,,0.8316831683168316,hist_gradient_boosting,train_only_sigmoid_cv,101,81,20,0.801980198019802,1.0,0.7142857142857143,1.0,0.0,0.19801980198019797
random,seed_20265966,120,A_strict_38,main,distance,test,0.7,4.1414939991070785,,0.7029702970297029,hist_gradient_boosting,train_only_sigmoid_cv,101,72,29,0.7128712871287128,1.0,0.7142857142857143,1.0,0.0,0.28712871287128716
random,seed_20265966,120,A_strict_38,main,combination,test,0.7,0.5146029034902545,4.1414939991070785,0.7029702970297029,hist_gradient_boosting,train_only_sigmoid_cv,101,72,29,0.7128712871287128,1.0,0.7142857142857143,1.0,0.0,0.28712871287128716
random,seed_20265966,60,A_strict_38,control,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.45544554455445546,0.3481232726083984,0.45101553166069297,0.5445544554455446,0.0
random,seed_20265966,60,A_strict_38,control,probability,test,0.7,0.2631011978008756,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.45544554455445546,0.3481232726083984,0.45101553166069297,0.5445544554455446,0.0
random,seed_20265966,60,A_strict_38,control,margin,test,0.7,0.004259243750724284,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.45544554455445546,0.3481232726083984,0.45101553166069297,0.5445544554455446,0.0
random,seed_20265966,60,A_strict_38,control,distance,test,0.7,0.999999999999992,,0.7623762376237624,hist_gradient_boosting,train_only_sigmoid_cv,101,75,26,0.7425742574257426,0.26666666666666666,0.06015037593984962,0.2,0.7333333333333334,0.25742574257425743
random,seed_20265966,60,A_strict_38,control,combination,test,0.7,0.2631011978008756,0.999999999999992,0.7623762376237624,hist_gradient_boosting,train_only_sigmoid_cv,101,75,26,0.7425742574257426,0.26666666666666666,0.06015037593984962,0.2,0.7333333333333334,0.25742574257425743
