mode,landmark_s,input_group,model,split,n_trajectories,feature_count,excluded_high_coupling_count,suspicious_train_feature_count,mae,rmse,r2
strict,300,severity_only,ridge,train,3,1,0,138,103.4188034188034,118.29214217657574,0.4035465069655998
strict,300,severity_only,ridge,validation,1,1,0,138,416.08974358974365,416.08974358974365,0.0
strict,300,severity_only,ridge,test,2,1,0,138,738.1538461538462,933.776085460416,-0.21899375723048897
strict,300,severity_only,random_forest,train,3,1,0,138,130.73814814814804,153.22321669566887,-0.0007231442649719977
strict,300,severity_only,random_forest,validation,1,1,0,138,506.2855555555559,506.2855555555559,0.0
strict,300,severity_only,random_forest,test,2,1,0,138,845.75,1035.5393776448518,-0.4991642710823676
strict,300,severity_only,gradient_boosting,train,3,1,0,138,130.1650064552276,153.27907488915034,-0.001452913255031607
strict,300,severity_only,gradient_boosting,validation,1,1,0,138,508.00498063431723,508.00498063431723,0.0
strict,300,severity_only,gradient_boosting,test,2,1,0,138,845.75,1036.532485894695,-0.5020411222218948
strict,300,process_only,naive_mean,train,3,190,0,138,132.11111111111111,153.16784547968575,0.0
strict,300,process_only,naive_mean,validation,1,190,0,138,502.1666666666667,502.1666666666667,0.0
strict,300,process_only,naive_mean,test,2,190,0,138,845.75,1033.168138677233,-0.49230638285098416
strict,300,process_only,ridge,train,3,190,0,138,4.8487804611440595,5.552505959528617,0.998685856292638
strict,300,process_only,ridge,validation,1,190,0,138,217.33913941310868,217.33913941310868,0.0
strict,300,process_only,ridge,test,2,190,0,138,195.516214811766,245.58578433213182,0.9156815847546007
strict,300,process_only,random_forest,train,3,190,0,138,130.73814814814804,153.22321669566887,-0.0007231442649719977
strict,300,process_only,random_forest,validation,1,190,0,138,506.2855555555559,506.2855555555559,0.0
strict,300,process_only,random_forest,test,2,190,0,138,845.75,1035.5393776448518,-0.4991642710823676
strict,300,process_only,gradient_boosting,train,3,190,0,138,130.1650064552276,153.27907488915034,-0.001452913255031607
strict,300,process_only,gradient_boosting,validation,1,190,0,138,508.00498063431723,508.00498063431723,0.0
strict,300,process_only,gradient_boosting,test,2,190,0,138,845.75,1036.532485894695,-0.5020411222218948
strict,300,severity_plus_process,naive_mean,train,3,191,0,138,132.11111111111111,153.16784547968575,0.0
strict,300,severity_plus_process,naive_mean,validation,1,191,0,138,502.1666666666667,502.1666666666667,0.0
strict,300,severity_plus_process,naive_mean,test,2,191,0,138,845.75,1033.168138677233,-0.49230638285098416
strict,300,severity_plus_process,ridge,train,3,191,0,138,4.834496558014554,5.546673207067703,0.9986886157850277
strict,300,severity_plus_process,ridge,validation,1,191,0,138,215.92513213673055,215.92513213673055,0.0
strict,300,severity_plus_process,ridge,test,2,191,0,138,191.6072095869598,239.83504075057812,0.9195842238832961
strict,300,severity_plus_process,random_forest,train,3,191,0,138,130.738148148148,153.2232166956689,-0.0007231442649722197
strict,300,severity_plus_process,random_forest,validation,1,191,0,138,506.28555555555596,506.28555555555596,0.0
strict,300,severity_plus_process,random_forest,test,2,191,0,138,845.75,1035.5393776448518,-0.4991642710823676
