scope,window_s,input_group,model,eval_split,true_class,predicted_class,count
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,RW,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,SGBTR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,SLBIC,1
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBIC,SLBOC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,FLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,LLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,LOCA,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,LOCAC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,MD,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,RW,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,SGBTR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,SLBIC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,logistic_regression,test,SLBOC,SLBOC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,FLB,10
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,LLB,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,LOCA,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,LOCAC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,LR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,MD,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,RI,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,RW,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,SGATR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,SGBTR,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,SLBIC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,FLB,SLBOC,0
strict_pre_protection_only,20,C_without_SLBIC_initial,random_forest,validation,LLB,FLB,0
